run_index,fixture_id,backend,total_ms,alloc_ms,encode_ms,draw_ms,readback_ms,pack_ms,dominant_phase,heap_bytes,decode_checked,decode_pass,code128,qr,ink_bits
563,dense,dot-buffer,34.449,0.146,15.092,2.526,0.001,16.684,pack,33554432,0,,,,
564,minimal,dot-buffer,12.103,0.139,0.000,0.043,0.001,11.920,pack,33554432,0,,,,
565,barcode-small,dot-buffer,30.923,0.159,15.153,1.759,0.001,13.851,encode,33554432,0,,,,
566,baseline-50x30,dot-buffer,33.500,0.142,13.729,2.717,0.001,16.912,pack,33554432,0,,,,
567,text-heavy,dot-buffer,29.971,0.142,0.000,9.013,0.001,20.814,pack,33554432,0,,,,
568,dense,dot-buffer,34.202,0.136,15.033,2.458,0.001,16.573,pack,33554432,0,,,,
569,minimal,dot-buffer,12.131,0.138,0.000,0.043,0.001,11.949,pack,33554432,0,,,,
570,barcode-small,dot-buffer,30.532,0.133,14.992,1.782,0.001,13.624,encode,33554432,0,,,,
571,baseline-50x30,dot-buffer,33.684,0.161,13.747,2.789,0.001,16.986,pack,33554432,0,,,,
572,text-heavy,dot-buffer,30.279,0.192,0.000,9.321,0.001,20.764,pack,33554432,0,,,,
573,dense,dot-buffer,34.653,0.146,15.256,2.502,0.001,16.747,pack,33554432,0,,,,
574,minimal,dot-buffer,12.182,0.177,0.000,0.053,0.001,11.951,pack,33554432,0,,,,
575,barcode-small,dot-buffer,30.928,0.195,15.179,1.767,0.002,13.786,encode,33554432,0,,,,
576,baseline-50x30,dot-buffer,33.896,0.164,13.916,2.786,0.001,17.029,pack,33554432,0,,,,
577,text-heavy,dot-buffer,30.110,0.168,0.000,9.159,0.001,20.782,pack,33554432,0,,,,
578,dense,dot-buffer,34.674,1.560,13.874,2.505,0.001,16.734,pack,33554432,0,,,,
579,minimal,dot-buffer,12.035,0.178,0.000,0.050,0.001,11.807,pack,33554432,0,,,,
580,barcode-small,dot-buffer,30.823,0.195,15.061,1.768,0.002,13.798,encode,33554432,0,,,,
581,baseline-50x30,dot-buffer,33.625,0.168,13.672,2.966,0.001,16.817,pack,33554432,0,,,,
582,text-heavy,dot-buffer,31.635,0.137,0.000,10.866,0.001,20.631,pack,33554432,0,,,,
583,dense,dot-buffer,33.087,0.160,13.781,2.489,0.001,16.656,pack,33554432,0,,,,
584,minimal,dot-buffer,12.163,0.153,0.000,0.046,0.001,11.962,pack,33554432,0,,,,
585,barcode-small,dot-buffer,30.994,0.147,15.259,1.754,0.001,13.833,encode,33554432,0,,,,
586,baseline-50x30,dot-buffer,33.509,0.181,13.613,2.726,0.001,16.988,pack,33554432,0,,,,
587,text-heavy,dot-buffer,31.697,1.894,0.000,8.986,0.001,20.816,pack,33554432,0,,,,
588,dense,dot-buffer,33.064,0.141,13.657,2.524,0.001,16.742,pack,33554432,0,,,,
589,minimal,dot-buffer,11.921,0.162,0.000,0.044,0.001,11.714,pack,33554432,0,,,,
590,barcode-small,dot-buffer,31.084,0.132,15.462,1.755,0.001,13.734,encode,33554432,0,,,,
591,baseline-50x30,dot-buffer,35.738,0.200,15.635,2.865,0.001,17.037,pack,33554432,0,,,,
592,text-heavy,dot-buffer,30.223,0.159,0.000,9.257,0.001,20.806,pack,33554432,0,,,,
593,dense,dot-buffer,33.042,0.156,13.720,2.482,0.001,16.683,pack,33554432,0,,,,
594,minimal,dot-buffer,11.922,0.170,0.000,0.054,0.001,11.696,pack,33554432,0,,,,
595,barcode-small,dot-buffer,31.003,0.160,15.431,1.747,0.002,13.664,encode,33554432,0,,,,
596,baseline-50x30,dot-buffer,35.342,0.173,15.563,2.797,0.002,16.807,pack,33554432,0,,,,
597,text-heavy,dot-buffer,30.135,0.195,0.000,9.080,0.001,20.859,pack,33554432,0,,,,
598,dense,dot-buffer,33.206,0.152,13.721,2.539,0.001,16.793,pack,33554432,0,,,,
599,minimal,dot-buffer,11.974,0.139,0.000,0.045,0.001,11.789,pack,33554432,0,,,,
